"name","state","ownership","carnegie.basic","carnegie.ugrd","admission_rate.overall","sat_scores.midpoint.critical_reading","sat_scores.midpoint.math","sat_scores.midpoint.writing","size","enrollment.all","avg_net_price","title_iv","attendance.academic_year","tuition.in_state","tuition.out_of_state","pell_grant_rate","retention_rate.four_year.full_time","completion_rate_4yr_150nt","federal_loan_rate","X7_yr_repayment.pell_grant_rate","X7_yr_repayment.no_pell_grant_rate","loan_principal","median_debt.pell_grant","median_debt.no_pell_grant","cumulative_debt.90th_percentile","cumulative_debt.75th_percentile","cumulative_debt.25th_percentile","cumulative_debt.10th_percentile","students_with_any_loan","students_with_pell_grant","X10_yrs_after_entry.not_working_not_enrolled.overall","X10_yrs_after_entry.working_not_enrolled.overall","X10_yrs_after_entry.working_not_enrolled.mean_earnings","X10_yrs_after_entry.median","X6_yrs_after_entry.not_working_not_enrolled.overall","X6_yrs_after_entry.working_not_enrolled.overall","X6_yrs_after_entry.working_not_enrolled.mean_earnings","X6_yrs_after_entry.median"
"University of Alabama at Birmingham","AL","Public","Doctoral Universities: Highest Research Activity","Four-year, medium full-time , selective, higher transfer-in",0.5814,"560","575","NULL",12047,"10331",16475,820,22684,8040,18368,0.3525,0.8161,0.5309,0.5179,0.601766004,0.69189907,14979.5,17400,12298,37540,26082,6250,3500,0.857462269,0.624930129,"464","3643","48400","41200","241","2727","39400","35100"
"University of Alabama in Huntsville","AL","Public","Doctoral Universities: Higher Research Activity","Four-year, medium full-time , selective, higher transfer-in",0.7628,"590","610","NULL",6346,"5220",19423,401,22059,9842,20612,0.2949,0.8255,0.4867,0.4312,0.568856886,0.767857143,13522,17006,10500,36250,26750,5500,3472,0.865215571,0.557136877,"213","1475","52000","46700","144","1378","40300","36200"
"The University of Alabama","AL","Public","Doctoral Universities: Higher Research Activity","Four-year, full-time, more selective, lower transfer-in",0.5259,"550","555","540",31663,"15318",21676,1305,28422,10470,26950,0.1938,0.8627,0.6871,0.4007,0.617981521,0.773737374,17340,19823,14000,34000,27000,7439,4500,0.910741139,0.452631579,"429","4026","51600","44500","345","4836","42400","37400"
"Auburn University","AL","Public","Doctoral Universities: Higher Research Activity","Four-year, full-time, more selective, higher transfer-in",0.8054,"575","585","570",22095,"18326",21984,1116,29794,10696,28840,0.1532,0.9101,0.7501,0.328,0.713954567,0.872977346,17000,20500,14000,33474,26000,7500,4500,0.887696283,0.436294971,"368","3908","56300","48800","220","3808","43100","39500"
"Huntingdon College","AL","Private nonprofit","Baccalaureate Colleges: Diverse Fields","Four-year, medium full-time , selective, higher transfer-in",0.5676,"473","475","NULL",1140,"657",20359,210,34207,25800,25800,0.4425,0.6151,0.3875,0.7093,0.555084746,0.678571429,16950,20250,12875,35500,27168,6500,3500,0.934911243,0.628698225,"37","336","43600","39900","36","468","34600","32600"
"University of Mobile","AL","Private nonprofit","Baccalaureate Colleges: Diverse Fields","Four-year, full-time, selective, higher transfer-in",0.6193,"485","500","NULL",1367,"1764",21533,215,34482,21400,21400,0.4965,0.7073,0.4764,0.7663,0.444007859,0.737931035,16750,17750,15000,41352,28092,6500,3750,0.925925926,0.646825397,"99","662","38700","35200","46","493","32700","29300"
"Oakwood University","AL","Private nonprofit","Baccalaureate Colleges: Diverse Fields","Four-year, full-time, inclusive, lower transfer-in",0.4837,"455","425","NULL",1719,"1767",24596,264,35585,16750,16750,0.5337,0.7418,0.4703,0.7149,0.337837838,0.451476793,26500,27375,20750,46500,37250,12500,5500,0.913308913,0.725274725,"89","516","37400","29700","57","501","25800","21800"
"University of South Alabama","AL","Public","Doctoral Universities: Higher Research Activity","Four-year, full-time, selective, higher transfer-in",0.805,"515","510","500",11483,"9232",14755,1290,19511,7548,14796,0.3944,0.732,0.3773,0.5622,0.479702048,0.683522727,15000,17750,12066.5,40000,27250,6125,3500,0.883386924,0.637299035,"497","3095","46800","37800","372","3199","35100","31500"
"Spring Hill College","AL","Private nonprofit","Baccalaureate Colleges: Arts & Sciences Focus","Four-year, full-time, more selective, lower transfer-in",0.4353,"550","545","NULL",1379,"1227",5772,218,47815,35794,35794,0.3062,0.7644,0.5281,0.75,0.560606061,0.789285714,20500,22500,19500,40500,29000,7500,4750,0.926605505,0.504587156,"58","424","51300","45100","31","388","34800","33600"
"Stillman College","AL","Private nonprofit","Baccalaureate Colleges: Arts & Sciences Focus","Four-year, full-time, inclusive, higher transfer-in",0.4192,"405","420","NULL",628,"1530",15337,214,20737,10418,10418,0.8022,0.3975,0.1787,0.9039,0.276923077,0.435897436,12500,12977,11000,41000,27011,5500,3500,0.948006932,0.89254766,"61","459","33700","28200","55","527","24900","22800"
